Run   mass(M_Earth)  Period(days)   Eccentricity   Incl(deg)
000     6.80           4.80016      0.1971780      11.91330
000    12.00           9.82069      0.1445690      11.78560
000    10.40          22.68475      0.1396320       3.76430
000    10.80          56.60785      0.0124030       9.95000
001    14.80           5.04527      0.0039940       5.34720
001    10.40          26.62691      0.0341110       4.89630
001     6.00          13.80059      0.0385890       3.36480
002     8.00           3.92661      0.0550980       5.14490
002    12.00          59.08885      0.0541340       2.05790
002     5.60           8.07018      0.0283670       2.63160
002    17.60          20.20252      0.0327650       3.11040
003    12.00           5.08476      0.0611300       3.64520
003     6.40          11.85998      0.0321650       1.76110
003     4.00         197.50468      0.2893580      11.27820
003     9.20          44.06583      0.0510220       5.85140
003    12.40          19.99413      0.0622180       5.77610
004     8.40           6.43674      0.0902370       7.95130
004     1.60         102.07472      0.1013820       9.05530
004     8.40          31.07489      0.0417000       4.11300
004     5.60          48.65769      0.0347370       2.27260
004    14.40          17.51267      0.0433160       5.06270
005     7.60           2.46166      0.1092820       8.54930
005     8.80          47.29307      0.0628320       5.37240
005    10.00           6.62441      0.0365440       5.92750
005    16.80          16.47038      0.0468310       4.98150
006     2.00           2.23552      0.2340880      11.90510
006    10.40           5.34526      0.0377820       6.48830
006     7.60          27.94439      0.0559760       4.39960
006    16.80          11.39809      0.0657830       4.57590
007     6.00           3.08678      0.1200250       9.12770
007    12.80          27.84677      0.0395950       7.93910
007     6.80         104.84885      0.2800410       9.38920
007    13.60           9.19399      0.1917390       3.08410
008     8.40           3.34812      0.0610070       9.33980
008    13.60          11.95799      0.0471130       3.08220
008    17.20          31.31859      0.0178510       3.36120
009    10.00           8.93034      0.0370320       2.36870
009    10.80          20.38859      0.1054520       9.53930
009     8.00         138.16326      0.1326920       6.54360
009     6.80          32.42180      0.0598800       5.08560
010     4.40           2.30807      0.0957870       5.95820
010    11.20           5.68650      0.0074620       5.87120
010    12.00          28.88694      0.0313740       5.95950
010    12.40          15.90040      0.0169670       4.39070
011     7.60           2.60795      0.0898550       4.28460
011     6.40          10.64594      0.0283260       4.08930
011     5.60           6.01100      0.0803600       5.78540
011    12.40          19.08379      0.0186680       2.20270
011     8.00          47.57051      0.0178130       2.13230
012     6.40           2.18063      0.0118990       1.55270
012     4.00          28.50211      0.0602180       1.41690
012     5.20           4.30112      0.0038100       1.48210
012     9.20          18.74683      0.0033970       1.41760
012     4.80          79.28551      0.0235360       0.74220
012     8.00           8.23524      0.0134270       1.41570
012     6.00          57.91952      0.0134640       0.86710
013     6.40           5.30912      0.1064550       3.63610
013     4.40          63.72387      0.3262760       6.84800
013    12.40          26.96176      0.0340670       5.31170
013    16.00          11.71868      0.0540440       1.22670
014     8.00           6.55687      0.0181260       4.30270
014    10.40           2.76564      0.0368950       6.56070
014     8.40          11.82329      0.0310450       3.42770
014    13.60          20.39487      0.0334650       5.24810
014     2.40          61.51125      0.0713380       4.99610
015    16.40          17.53258      0.0699920       2.79300
015    10.00          45.83443      0.1340350       3.70630
015     8.00           5.46767      0.2173610       3.79890
015     4.40          88.78058      0.1047480       4.04510
016     6.00           4.40625      0.2129340       4.49200
016    17.20          11.06511      0.1157670       5.23180
016     3.20          60.92523      0.0096770       7.81950
016    13.60          26.94337      0.0541120       3.39790
016     4.80          95.83928      0.0647230       1.96270
017     8.00           3.45185      0.0711400       3.38610
017    11.20           8.48881      0.0843970       4.34980
017     0.80         101.30199      0.2951950       3.76360
017     6.00          35.84219      0.0379180       0.69120
017    15.20          18.83037      0.0282420       1.18080
018    13.20           4.71508      0.1061030       2.51810
018     8.00          65.89429      0.1078670       7.88670
018    16.00          18.74073      0.1018650       5.72640
019     9.20           5.11246      0.0636310       7.21210
019    16.40          14.49011      0.0854300       3.64930
019    13.20          47.36792      0.0527230       6.91720
020    14.40           7.91693      0.0968140       1.08120
020    17.20          21.62995      0.0523050       0.90740
020     6.00          39.37507      0.0914040       1.23640
020     3.20          84.05712      0.1606750       4.41600
021    10.00           2.96924      0.1736590       8.52240
021     7.20         106.49031      0.1974560       9.01440
021    24.00          15.02590      0.1017910       0.23940
022     8.40           2.50733      0.0250590       1.61640
022    10.00           6.72687      0.0521700       2.58430
022     7.60          15.04293      0.0563180       1.46640
022     4.80          85.25858      0.0550870       0.36400
022     6.00          22.85202      0.0569030       5.50030
022     5.20          42.30991      0.0064300       1.97480
023     4.40           2.38547      0.1296860       5.38410
023    10.40           6.66620      0.0172210       1.49980
023     4.80          34.77607      0.0138330       1.23980
023    12.00          17.94033      0.0088000       3.29520
023     6.40          52.81687      0.0207370       0.83690
024     1.60           4.13395      0.0210320       3.96470
024     4.00          33.96370      0.0144870       3.90270
024     4.00           5.84317      0.0086010       3.28110
024     4.80           9.19239      0.0309740       3.67630
024     4.80          12.79294      0.0135170       3.33470
024     4.40          51.37987      0.0179650       4.48080
024    14.40          21.14276      0.0217650       3.55010
025     5.20           9.51536      0.0319920       5.23200
025     6.40           6.34003      0.0185600       5.22940
025     5.20          15.87920      0.0260180       5.23250
025     4.80          42.58530      0.0055500       5.22100
025     6.40          12.69090      0.0243410       5.22270
025     3.20          36.44531      0.0076170       5.22290
025     7.60          21.19789      0.0112190       5.22630
026     8.00           6.13826      0.0523180       6.25910
026    21.20          18.92017      0.0474040       1.67950
026     5.20          51.38271      0.0220820       6.82820
027     1.60           3.66480      0.0234940       1.71540
027     8.40           8.11635      0.0213850       1.77010
027     8.80          11.76397      0.0252780       1.93250
027     7.20          35.50410      0.0093550       2.14060
027    14.00          20.78350      0.0167850       2.02990
028    11.60           5.15080      0.1159990       0.17060
028    10.40          21.77961      0.0500200       4.41520
028    13.20          14.41544      0.0385250       1.27590
029     8.00           5.42452      0.1062530       4.23120
029    10.80         149.38866      0.0432270       7.92740
029    23.20          25.52463      0.0750100       6.34210
030     3.60           4.75369      0.4681870      20.89330
030    16.00          10.52477      0.1293610       1.43190
030     6.40          62.90214      0.1030700       0.97730
030    16.00          26.20006      0.1183090       8.35050
031    14.40          11.42398      0.1057370       5.16280
031    10.40           4.90267      0.0898100       3.05450
031     6.40          64.85070      0.1828210       3.61560
031     9.60          23.60648      0.0998410       9.66610
032     5.60           5.82937      0.2317390       8.29730
032     4.00         112.45911      0.1650880      14.21140
032    11.20          54.83967      0.1348830       2.22910
032    19.20          18.71834      0.0254810       2.76460
033     5.20           3.89039      0.1041370       6.28570
033    13.20          23.04805      0.0379030       3.58090
033    12.00           8.70549      0.0105090       2.92380
033     5.20          42.99009      0.0327440       3.37540
033     4.40          14.66799      0.0290780       4.07870
034     8.00           4.20179      0.0764030       2.89760
034    10.00          16.66578      0.0317790       3.02920
034     7.60           8.87156      0.0316860       1.49880
034     4.40          42.65491      0.0663300       4.11750
034     7.60          92.24241      0.0119720       2.26130
034     2.40          31.83459      0.0614880       1.44050
035     8.00           3.53325      0.0405650       6.08960
035     9.60           8.85729      0.0271230       5.30960
035     4.40          58.91877      0.0735590       5.99710
035     5.20          29.94212      0.0301300       5.18950
035    10.40          18.51114      0.0265010       7.14990
036     3.20         108.63725      0.2475080       4.15950
036    12.80          37.54602      0.1309060      14.65830
036    21.20           9.24703      0.1677060       3.08580
037    18.00          12.30316      0.0576780       3.85260
037     5.20           3.71929      0.1678670       2.50080
037    13.60          40.62274      0.0698950       3.88880
038     7.20          73.19256      0.0384790       2.32890
038     3.20          34.18733      0.0765440       4.36590
038    13.20           8.18730      0.0694740       1.83830
038    18.80          18.14941      0.0280290       3.04240
039    12.00           6.09621      0.0800960      13.67530
039    14.80          16.29908      0.0514810       6.43910
039    12.40          48.76686      0.0604850       7.31170
040    11.60           5.30644      0.2605250       7.26800
040    24.40          24.57380      0.1320990       0.37050
041     2.80          28.94104      0.0867860       5.03200
041    10.80           3.19453      0.0177920       2.83020
041    13.60          18.27242      0.0044550       4.15550
041     9.60           8.74967      0.0352340       7.42850
042     6.40           5.65506      0.1728140       9.82520
042     8.80          24.56711      0.0291390       9.34510
042    10.00          36.82205      0.1287300       5.12310
042    10.40          10.88796      0.0432060       5.78630
042     8.00         184.73348      0.0894280       6.75940
043    11.20           5.23841      0.1958590       3.64890
043    16.00          33.90911      0.0734390       4.90550
043     9.20          12.54636      0.0912510       3.46890
043     4.00          85.01918      0.0137290       2.38240
044     8.80           3.06449      0.0529770       2.93940
044     3.60         189.06739      0.3781830       6.29600
044    15.20           9.82069      0.0311670       2.06960
044    11.20          23.10915      0.0429100       2.34370
044     5.20          42.78351      0.0955820       1.52390
045     4.00           7.92610      0.0446160       4.21630
045     3.60           2.11241      0.0140550       4.28050
045     3.20           3.52158      0.0487820       4.18810
045     4.00           5.28373      0.0576100       4.19870
045     7.60          14.09949      0.0343820       4.21230
045     6.00          10.57520      0.0567100       4.24170
045     6.40          42.42748      0.0012210       4.15650
045     5.60          21.17032      0.0228060       4.21120
046    10.00           6.93337      0.0773040       3.93410
046    13.60          49.91662      0.0318860       3.54930
046     6.80          25.36457      0.0794670       1.05480
046     6.00         124.43032      0.0504390       3.48010
046     5.20          14.16991      0.0204850       5.11380
047     1.60           1.77124      0.2090570      12.68820
047    10.00           3.70386      0.0840950       1.90120
047     2.40         175.41544      0.2087650       5.85260
047    10.40          24.09848      0.1122110       5.83410
047    11.60           9.30984      0.1058840       2.70270
047     9.20          49.39545      0.1169520       0.65920
048     2.40           2.51984      0.1368700       5.22050
048     6.80           4.73438      0.1364660       4.82940
048    17.20          18.64715      0.0358320       4.91920
048     5.60           8.94465      0.0631930       4.99370
048     6.00          43.05186      0.0557750       4.95700
049     4.40           2.78611      0.0898710       4.93840
049     5.60           7.36746      0.0941600       7.31040
049    23.20          16.17680      0.0352580       3.04990
049     5.60          46.60459      0.0967500       6.72020
049     8.40         183.89600      0.1051590       4.39960
050     7.60           4.45408      0.0431960      11.26260
050    19.60          40.78620      0.0819140       4.78780
050    16.00          11.08732      0.1139200       4.36250
051     0.40           5.24640      0.0713110       6.91870
051    10.80           7.86963      0.0189600       6.04230
051    10.80          15.79451      0.0154720       6.70120
051     4.00          10.50630      0.0213810       6.63430
051    12.40          21.06651      0.0135260       6.25500
051     0.80         167.40299      0.2565790      19.43430
052     8.00           5.48388      0.0448970       4.29570
052    10.40          50.41413      0.0689210       0.91650
052    14.80          10.52645      0.0411340       0.68130
052     5.20          21.89101      0.0712650       4.03230
052     4.00         119.81784      0.0538780       2.85970
053     2.40           2.61429      0.2081810       1.24820
053     8.40           6.42818      0.0738480       6.46620
053     4.00          89.04399      0.0793870       3.63020
053    18.80          16.23305      0.0768060       1.01220
053    10.80          43.77648      0.0559070       2.42090
054     9.60           5.09267      0.0943200       5.95120
054    11.20          13.83370      0.2182500       5.83460
054    11.20          32.33141      0.0454580       7.07370
054     6.40          84.95852      0.1423710       5.84610
055     4.80          83.79873      0.1701020       4.19630
055    15.20           9.21327      0.0471350       2.43310
055    20.40          21.60646      0.0311450       1.01660
056     8.40           3.64708      0.0673110       8.77590
056    20.80          23.86420      0.0646790       3.10160
056     7.20           9.08502      0.0958220       3.29250
056     4.80          78.19485      0.0456830       0.96740
057     7.20           4.37738      0.1540530       3.05020
057    12.40          22.60018      0.0563870       3.70620
057     9.60          11.75875      0.1069270       5.30060
057    10.00          42.78083      0.1299980       4.93160
058    13.60           8.79710      0.1080100       2.33410
058     8.80         102.85300      0.0753180       6.15440
058     8.40          42.84787      0.0554140       9.98250
058    10.80          19.73466      0.0526420       6.85360
059    12.40           5.22643      0.2216400       4.22070
059    13.20          23.46371      0.1371980       9.46110
059    17.20         102.44748      0.2397050      10.79320
060     3.20           2.35074      0.1146410       6.90540
060     4.00           4.11060      0.0490890      10.03330
060    10.80           9.25507      0.0294280       4.09040
060     7.60          34.37905      0.0314550       1.12620
060     9.60          21.10251      0.0145960       2.88780
061     9.20           2.54910      0.1708030       4.06790
061     9.20          53.62988      0.0557370       5.28250
061     8.80          10.07454      0.2017910       4.49830
061    11.60          21.87600      0.0361630       2.02030
062    14.80           9.04507      0.0558440       6.15770
062    12.00          25.57429      0.1206270       2.45130
062    11.60          65.59732      0.1139390       4.75590
063     6.80           3.95324      0.0352090       8.84960
063    16.40          25.65337      0.0393930       8.12460
063     4.00          13.82818      0.0155520       7.07970
063     2.40          40.59903      0.1048690      10.31220
063     7.20           8.41855      0.0496560       7.20510
064     8.40          16.58753      0.0323630       2.84690
064     8.00           9.76002      0.0234040       2.47230
064     7.20           4.29863      0.0459050       4.10620
064     6.00          23.47030      0.0278650       3.55240
064     5.20          60.62088      0.0306460       1.98940
064     7.20          42.04045      0.0317240       4.24310
065    14.40          23.70109      0.0292270       3.94610
065     6.80           4.27746      0.1130680       3.18590
065     6.80           7.59229      0.1077050       4.30060
065     5.20          71.23288      0.0720940       4.42370
065     7.60          46.59356      0.0631880       4.89720
066     2.80          37.64873      0.0121730       0.00320
066     4.00           7.03299      0.0260740       0.02150
066     2.80          16.90126      0.0274950       0.02930
066     3.60          14.07728      0.0397610       0.01800
066     4.80          75.62644      0.0004090       0.00020
066     6.00          28.20296      0.0199430       0.00650
066     4.40           9.37926      0.0294860       0.01930
066     6.40           3.51459      0.0179740       0.00370
066     7.60          21.13641      0.0247690       0.01990
067     7.20           2.55748      0.0403420       3.04790
067     3.20          10.26383      0.0912450       1.87750
067     6.00           5.74954      0.0665580       2.22340
067     8.00          60.18182      0.0345700       0.73630
067     5.60          32.19965      0.1051870       1.22150
067    14.40          18.53954      0.0726330       1.13670
068     6.80           4.39118      0.0718210       3.19870
068     8.80           8.86839      0.0265330       1.72060
068    18.40          19.47633      0.0036970       0.55930
068     5.20          76.55207      0.1098980       1.01220
068     2.40          43.42579      0.0056360       2.63170
069    18.00          18.18568      0.0466310       2.56310
069    14.40           7.78137      0.0553300       4.08410
069     6.00          44.77974      0.0796420       6.92960
070     1.60           5.26505      0.0502930       6.64070
070     3.20           7.00804      0.0261640       1.95170
070     6.00          10.52477      0.0481710       3.83670
070     9.20          15.80413      0.0395690       1.17430
070     5.60          89.11245      0.0202840       2.83420
070     7.20          21.06228      0.0138020       2.62530
070     5.20          42.24316      0.0251830       1.57350
070     2.00          31.49996      0.0343370       2.97240
071    12.40          39.47158      0.1309600       7.44820
071    22.80           5.41644      0.0485910       6.75390
071     5.60         116.47819      0.0688060      10.03340
072     5.20           4.76530      0.1789420       8.13310
072    13.20          37.77210      0.0821360       3.07350
072    19.60          12.21833      0.1169720       2.37430
072     5.60          81.57159      0.1003540       4.31440
073     4.00           3.82667      0.0163930       4.47360
073    13.60          10.29883      0.0093120       2.39780
073     5.20          75.81127      0.0109390       1.96300
073    10.80          20.58363      0.0252690       3.18130
073     9.20          35.19219      0.0207300       3.67380
074     7.20           4.09342      0.0028910       1.55710
074    16.80          10.56847      0.0161310       0.87390
074     5.60          26.50113      0.0123900       1.43170
074     2.40          17.67015      0.0317310       1.02420
074     5.60          21.16396      0.0174860       1.19920
074     3.60           6.83131      0.0217700       1.05000
075    10.40           5.20118      0.0749630       3.91090
075    24.80          19.11247      0.0688900       1.27530
075     7.60         105.30456      0.0498440       1.18200
076    12.80           7.02858      0.0234310       4.52420
076     8.00          45.97164      0.0843160       3.65500
076     6.40         116.59051      0.0658310       2.57680
076    12.40          18.86913      0.0198300       1.74880
077    14.40           9.25829      0.0989870       3.93270
077    14.00          73.46204      0.2395330       3.30290
077    14.80          17.68612      0.1425000       4.85990
078    18.40           6.72977      0.0422640       4.14620
078    20.00          29.24986      0.0526080       4.39480
078     5.20         154.68604      0.0872050       5.34800
079     4.00           4.21912      0.0944750       4.04450
079     3.20           6.96554      0.0269440       4.45340
079     4.40          10.26550      0.0528790       4.29530
079     8.40          22.43785      0.0234340       3.86970
079     7.20          32.61996      0.0402760       3.25600
079     7.20          63.48523      0.0220880       3.86310
080    14.00          11.14205      0.1549690      10.49620
080    12.40          32.97324      0.2026610      11.42190
080     7.20          82.63759      0.2042870       3.20870
